Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.579602138,-2.190030813,9.618548393,-1.905883193,10.04714382
0.582108701,-2.180459738,9.594620705,-1.987239242,10.03794157
0.584615159,-2.199602127,9.628120422,-1.901097536,10.05749095
0.587121461,-2.25703001,9.628120422,-1.992024899,10.08776737
0.589627867,-2.285743713,9.637691498,-1.920240164,10.08945212
0.59213469,-2.285743713,9.63290596,-1.925025821,10.08579327
0.594641409,-2.29052949,9.618548393,-1.858026743,10.0605796
0.597147972,-2.304886341,9.5754776,-1.896311998,10.02986897
0.599654638,-2.304886341,9.5754776,-1.853241086,10.02181495
0.602161201,-2.324028969,9.589835167,-1.920240164,10.0525306
0.604667867,-2.314457655,9.546764374,-1.810170293,9.988700653
0.607174534,-2.300100803,9.508479118,-1.810170293,9.948786626
0.609681044,-2.314457655,9.484550476,-1.853241086,9.937198523
0.612187763,-2.276172638,9.494122505,-1.91066885,9.948365669
0.614694378,-2.271386862,9.503693581,-1.881955028,9.950936874
0.617200836,-2.247458696,9.494122505,-1.872383714,9.93454848
0.619707399,-2.271386862,9.532406807,-1.867598057,9.975665407
0.622213961,-2.233101845,9.541978836,-1.858026743,9.974385562
0.624720732,-2.252244234,9.532406807,-1.834098577,9.965104175
0.627227347,-2.199602127,9.513264656,-1.853241086,9.938559073
0.629734065,-2.218744755,9.585049629,-1.877169371,10.01597572
0.632240836,-2.175673962,9.594620705,-1.8628124,10.01301022
0.634747347,-2.218744755,9.613762856,-1.834098577,10.03549611
0.637253857,-2.190030813,9.613762856,-1.896311998,10.04075049
0.639760576,-2.16131711,9.618548393,-1.901097536,10.04001677
0.642267399,-2.156531334,9.613762856,-1.795813441,10.01498924
0.644774274,-2.185245275,9.63290596,-1.848455548,10.04912743
0.647281097,-2.213959217,9.60419178,-1.791027784,10.01747951
0.649787711,-2.185245275,9.613762856,-1.901097536,10.04061278
0.65229443,-2.228316069,9.608977318,-1.795813441,10.0261051
0.654801044,-2.252244234,9.623334885,-1.920240164,10.06819252
0.657307711,-2.266601324,9.618548393,-1.824527264,10.04902256
0.65981443,-2.25703001,9.618548393,-1.901097536,10.06105509
0.662321305,-2.24267292,9.637691498,-1.805384636,10.05853334
0.664827711,-2.24267292,9.63290596,-1.891526341,10.06977313
0.667334534,-2.280958176,9.652048111,-1.738385677,10.06910064
0.669841357,-2.266601324,9.647262573,-1.881955028,10.08706654
0.672348128,-2.247458696,9.623334885,-1.752742529,10.03652087
0.674855003,-2.223530531,9.60419178,-1.843669891,10.02914286
0.677362086,-2.218744755,9.608977318,-1.675574064,10.0031406
0.679869222,-2.180459738,9.599406242,-1.800599098,10.00725547
0.682376097,-2.14696002,9.570692062,-1.632503271,9.943472774
0.684883232,-2.070389748,9.532406807,-1.704886079,9.902521385
0.687390315,-2.003390789,9.484550476,-1.594218135,9.824042134
0.689897138,-1.936391711,9.460622787,-1.714457393,9.807770416
0.692403909,-1.835893154,9.451051712,-1.484148264,9.741436147
0.694910628,-1.797009826,9.45583725,-1.632503271,9.762539083
0.697417347,-1.701296926,9.407979965,-1.488933921,9.675816373
0.699923961,-1.667797327,9.388837814,-1.589432478,9.667373947
0.702430628,-1.615155339,9.388837814,-1.445863128,9.635845705
0.704937347,-1.600798368,9.412766457,-1.627717614,9.685669436
0.707444222,-1.567298889,9.407979965,-1.555932879,9.663717709
0.709951149,-1.548156261,9.422337532,-1.575075507,9.67771126
0.712457867,-1.572084427,9.446265221,-1.546361685,9.700237653
0.714964638,-1.533799291,9.474979401,-1.555932879,9.723615687
