Time (s);Gyroscope x (rad/s);Gyroscope y (rad/s);Gyroscope z (rad/s)
1,516187261;-0,568930507;0,02925255;0,749288797
1,526187261;-0,595836639;0,051111318;1,002775788
1,536187261;-0,542271376;-0,015753174;1,013127089
1,546187261;-0,420151025;-0,153393567;0,813973963
1,556187261;-0,277139604;-0,293027997;0,55651921
1,566187261;-0,155962497;-0,383771896;0,372915983
1,576187261;-0,084242277;-0,425567806;0,30540207
1,586187261;-0,061561622;-0,450936615;0,312652141
1,596187261;-0,054247685;-0,493315935;0,317855984
1,606187261;-0,023830442;-0,564926505;0,272973746
1,616187261;0,037525706;-0,643699825;0,201791167
1,626187261;0,090639576;-0,692605257;0,190701023
1,636187261;0,068909623;-0,699413478;0,323241889
1,646187261;-0,054777864;-0,684011638;0,594269514
1,656187261;-0,20590806;-0,66019398;0,899930298
1,666187261;-0,244567588;-0,61642319;1,11058867
1,676187261;-0,108480468;-0,549611926;1,165048242
1,686187261;0,133812025;-0,472301394;1,110010624
1,696187261;0,376418561;-0,387305379;1,048595905
1,706187261;0,56110239;-0,288721621;1,054564118
1,716187261;0,678404272;-0,19015488;1,112056851
1,726187261;0,718377531;-0,127665982;1,154155016
1,736187261;0,672934294;-0,107903443;1,16848588
1,746187261;0,559285045;-0,055248428;1,27656281
1,756187261;0,423057437;0,115652807;1,589231014
1,766187261;0,316384673;0,37530604;1,996401072
1,776187261;0,240415558;0,594959378;2,25027442
1,786187261;0,018504152;0,71940279;2,378946543
1,796187261;-0,548373759;0,85072571;2,698819876
1,806187261;-1,15356946;1,056315422;3,125520468
1,816187261;-1,128499866;1,097043514;2,88299489
1,826187261;-0,384197742;0,574036419;1,29613483
1,836187261;0,338537276;-0,489206493;-1,224101663
1,846187261;0,415252686;-1,536101103;-3,417826653
1,856187261;0,044848159;-1,878876686;-3,979694605
1,866187261;-0,290446281;-1,251877546;-2,584014654
1,876187261;-0,373203427;-0,028643588;-0,199733257
1,886187261;-0,140424371;1,128212452;1,828704357
1,896187261;0,289251804;1,696739435;2,647300959
1,906187261;0,642702281;1,654227018;2,408586502
1,916187261;0,810499072;1,341024518;1,790081024
1,926187261;0,988172352;1,085953355;1,269286156
1,936187261;1,361244798;0,992443621;0,94706738
1,946187261;1,770252466;0,942250013;0,703292966
1,956187261;1,913186193;0,834184706;0,489963442
1,966187261;1,728230834;0,717636585;0,399118394
1,976187261;1,384150147;0,691994131;0,514893651
1,986187261;1,050109744;0,760053158;0,766312063
1,996187261;0,781286955;0,821280479;0,963739336
2,006187261;0,587581575;0,767521441;0,936683118
2,016187261;0,485442013;0,578696251;0,663651824
2,026187261;0,461161226;0,330254555;0,275904655
2,036187261;0,478008837;0,141030148;-0,033336431
2,046187261;0,498159945;0,097873665;-0,120209381
2,056187261;0,499258637;0,198047966;0,02158729
2,066187261;0,466770709;0,367601395;0,284002155
2,076187261;0,394360602;0,510549963;0,514475226
2,086187261;0,294544011;0,559233963;0,599059224
2,096187261;0,181091771;0,501170695;0,515821993
2,106187261;0,064042188;0,370047897;0,320981711
2,116187261;-0,029381368;0,227924392;0,112092718
2,126187261;-0,062339857;0,133142382;-0,027354334
2,136187261;-0,035145219;0,104244344;-0,07660044
2,146187261;0,0034845;0,116310745;-0,074172042
2,156187261;0,011570284;0,124637134;-0,083093554
2,166187261;-0,007602448;0,090245664;-0,158128992
2,176187261;-0,033227839;-0,001418073;-0,316238821
2,186187261;-0,055529486;-0,129452407;-0,520488203
2,196187261;-0,070997342;-0,245667338;-0,69984889
2,206187261;-0,076810166;-0,310815662;-0,802395165
2,216187261;-0,064211458;-0,324819654;-0,834033549
2,226187261;-0,024820538;-0,330518574;-0,858434618
2,236187261;-0,000104333;-0,374060452;-0,930827677
2,246187261;-0,060275562;-0,438614696;-1,007402539
2,256187261;-0,203442395;-0,425843537;-0,938517451
2,266187261;-0,328889698;-0,231958225;-0,597002387
2,276187261;-0,337765425;0,127295494;-0,040970817
2,286187261;-0,265716255;0,497955531;0,507928908
2,296187261;-0,220556155;0,723501563;0,84516412
2,306187261;-0,215198994;0,774879038;0,921265304
2,316187261;-0,17426011;0,727581203;0,819928408
2,326187261;-0,06515152;0,65244782;0,639740467
2,336187261;0,063559912;0,568083107;0,4324857
2,346187261;0,166664049;0,474272013;0,223028198
2,356187261;0,242142379;0,387493819;0,041394535
2,366187261;0,277998775;0,331730098;-0,078316607
2,376187261;0,233892635;0,31777826;-0,119604677
2,386187261;0,090776913;0,345100671;-0,088485852
2,396187261;-0,121753074;0,410896271;0,001643772
2,406187261;-0,341099828;0,501619935;0,127209246
2,416187261;-0,507221997;0,583834112;0,239790633
2,426187261;-0,586181641;0,626303911;0,285618246
2,436187261;-0,58790952;0,628952682;0,252577782
2,446187261;-0,567794561;0,625854671;0,195846334
2,456187261;-0,572232962;0,667868793;0,207059979
2,466187261;-0,595985711;0,793183029;0,348200828
2,476187261;-0,59680438;0,994076729;0,600820124
2,486187261;-0,55243957;1,209849596;0,872192681
2,496187261;-0,478353769;1,352993011;1,042676568
2,506187261;-0,371956766;1,362910986;1,035451055
2,516187261;-0,184748739;1,251865864;0,876746058
2,526187261;0,119710073;1,097978234;0,683314323
2,536187261;0,497373194;0,98451221;0,573161304
2,546187261;0,786994398;0,935523748;0,567079127
2,556187261;0,763453543;0,899742901;0,556702316
2,566187261;0,344462961;0,761034727;0,332202792
2,576187261;-0,236143246;0,375369936;-0,33397752
2,586187261;-0,524426222;-0,348099709;-1,567251921
2,596187261;-0,265592754;-1,286900282;-3,210669756
2,606187261;0,316727489;-2,112050772;-4,80266571
2,616187261;0,751646876;-2,511835575;-5,751181126
2,626187261;0,778564751;-2,356319189;-5,631899834
2,636187261;0,492917746;-1,740209937;-4,5239048
2,646187261;0,078466713;-0,923599958;-2,932397366
2,656187261;-0,35717985;-0,244186446;-1,478357196
2,666187261;-0,75205785;0,050349049;-0,59920615
2,676187261;-1,01119256;-0,046551552;-0,372861683
2,686187261;-1,035208344;-0,352080315;-0,586784184
2,696187261;-0,848465502;-0,649638236;-0,918321609
2,706187261;-0,58264178;-0,797530949;-1,10127008
2,716187261;-0,388484985;-0,769221663;-1,016663671
2,726187261;-0,347839922;-0,633600831;-0,719239891
2,736187261;-0,398150653;-0,481375158;-0,388457298
2,746187261;-0,410062671;-0,391349852;-0,227619901
2,756187261;-0,333751827;-0,432980746;-0,364508688
2,766187261;-0,200441226;-0,648514032;-0,829753757
2,776187261;-0,031869385;-1,017980576;-1,569037199
2,786187261;0,149455547;-1,448213577;-2,411394119
2,796187261;0,250612497;-1,828383923;-3,07997179
2,806187261;0,19144839;-2,064628363;-3,308804274
2,816187261;0,019567706;-2,079360485;-2,997303009
2,826187261;-0,154016376;-1,84884584;-2,246451378
2,836187261;-0,282543629;-1,438569188;-1,249460816
2,846187261;-0,379917979;-0,960432649;-0,189587444
2,856187261;-0,444592535;-0,505848646;0,785351694
2,866187261;-0,448872328;-0,134407148;1,55692184
2,876187261;-0,371265829;0,099227861;2,018614292
2,886187261;-0,2216921;0,132035166;2,077104568
2,896187261;-0,035913873;-0,062747605;1,711674929
2,906187261;0,146032795;-0,426850677;1,033943534
2,916187261;0,2995722;-0,820032716;0,275579959
2,926187261;0,429100215;-1,089057803;-0,32268405
2,936187261;0,553755462;-1,152657151;-0,618360817
2,946187261;0,672132611;-1,021203279;-0,580067515
2,956187261;0,744055092;-0,787423432;-0,28325054
2,966187261;0,729607165;-0,572495937;0,126204252
2,976187261;0,657453656;-0,441449791;0,495702803
2,986187261;0,602105141;-0,364959002;0,770903766
2,996187261;0,594200313;-0,259046406;1,043522954
3,006187261;0,602504373;-0,090724744;1,395280719
3,016187261;0,601039469;0,082654931;1,749871373
3,026187261;0,5807212;0,160292298;1,921275139
3,036187261;0,517434895;0,089226827;1,816233397
3,046187261;0,411667049;-0,081242174;1,519373775
3,056187261;0,326355904;-0,251623869;1,170317054
3,066187261;0,38354513;-0,31428206;0,875695288
3,076187261;0,567971289;-0,179030672;0,83799392
3,086187261;0,65887171;0,261327893;1,505886197
3,096187261;0,45982939;0,990864754;3,031607151
3,106187261;0,034790698;1,740948796;4,762528419
3,116187261;-0,269843787;2,168142319;5,670429707
3,126187261;-0,226457343;2,011010885;5,100323677
3,136187261;0,001974869;1,267946839;3,261264801
3,146187261;0,040574778;0,214014068;0,917228222
3,156187261;-0,261997521;-0,793470502;-1,191332579
3,166187261;-0,64611119;-1,438470244;-2,525046349
3,176187261;-0,629331708;-1,412224174;-2,816729784
3,186187261;-0,328338236;-0,922566235;-2,206798553
3,196187261;0,061470065;-0,30656144;-1,178320885
3,206187261;0,589103997;0,29989478;-0,253173977
3,216187261;0,938648403;0,677713335;0,354988843
3,226187261;0,90272069;0,849805892;0,788907528
3,236187261;0,637346148;0,958238423;1,196517348
3,246187261;0,499646157;1,06687963;1,500276685
3,256187261;0,654389679;1,083814621;1,475399733
3,266187261;0,93539387;0,905687749;1,038022041
3,276187261;1,094224453;0,58420676;0,389552772
3,286187261;1,105859637;0,296116471;-0,155219391
3,296187261;1,074349046;0,170874625;-0,406481296
3,306187261;1,041077495;0,203649998;-0,375064373
3,316187261;0,938698411;0,307848573;-0,177649856
3,326187261;0,675849199;0,381936491;0,036216225
3,336187261;0,278028578;0,372908533;0,154808447
3,346187261;-0,111674324;0,306095123;0,171088606
3,356187261;-0,327696264;0,25955528;0,165521711
3,366187261;-0,28548941;0,302768201;0,229202986
3,376187261;-0,035216548;0,434263617;0,38185665
3,386187261;0,263038725;0,587152541;0,572404385
3,396187261;0,430450141;0,695324302;0,741671443
3,406187261;0,40541029;0,75420624;0,877928853
3,416187261;0,263344288;0,806778252;1,0083884
3,426187261;0,121296354;0,878690064;1,141029358
3,436187261;0,046814512;0,939126372;1,226219177
3,446187261;0,032806251;0,9174124;1,170225501
3,456187261;0,030064855;0,757584274;0,900720239
3,466187261;-0,007454466;0,46136564;0,428012162
3,476187261;-0,082323834;0,092584632;-0,149395928
3,486187261;-0,157440186;-0,252690613;-0,695358336
3,496187261;-0,192506626;-0,493324429;-1,10272646
3,506187261;-0,159689724;-0,601577103;-1,334678292
3,516187261;-0,052697599;-0,613101602;-1,430517435
3,526187261;0,063486457;-0,596698999;-1,460166097
3,536187261;0,079802811;-0,570760608;-1,415385008
3,546187261;-0,043611072;-0,458262265;-1,171405077
3,556187261;-0,217805177;-0,165696308;-0,627997756
3,566187261;-0,316337854;0,281089365;0,119186282
3,576187261;-0,323345155;0,698198736;0,78415823
3,586187261;-0,3076846;0,889757872;1,092320919
3,596187261;-0,296540171;0,809712291;0,970111072
3,606187261;-0,24974376;0,567351699;0,56221807
3,616187261;-0,141897812;0,321063697;0,110420205
3,626187261;-0,006245058;0,176198781;-0,198516399
3,636187261;0,107808694;0,154714763;-0,305770427
3,646187261;0,167459324;0,216905579;-0,259981155
3,656187261;0,142241687;0,302354068;-0,149818569
3,666187261;0,017977165;0,369373977;-0,047977079
3,676187261;-0,167384803;0,411017656;0,011945031
3,686187261;-0,349830776;0,44090578;0,032618877
3,696187261;-0,476628006;0,47423476;0,034138087
3,706187261;-0,513239205;0,529057324;0,052095026
3,716187261;-0,448596597;0,630093992;0,13783735
3,726187261;-0,310284406;0,799258828;0,335936427
3,736187261;-0,160012305;1,04251802;0,658892989
3,746187261;-0,069688924;1,324479222;1,055316806
3,756187261;-0,074358344;1,571662664;1,414933562
3,766187261;-0,138908356;1,710885048;1,616998315
3,776187261;-0,189195663;1,702752352;1,590817213
3,786187261;-0,160480738;1,569300175;1,376149535
3,796187261;-0,022473052;1,378063679;1,096073627
3,806187261;0,223000526;1,196113825;0,86829406
3,816187261;0,518163085;1,044617414;0,722524226
3,826187261;0,688188136;0,903495729;0,59179002
3,836187261;0,526984513;0,735221982;0,356940299
3,846187261;0,027110536;0,454095334;-0,145499408
3,856187261;-0,486130804;-0,080701351;-1,093019247
3,866187261;-0,567247331;-0,946901321;-2,570653677
3,876187261;-0,108579479;-1,972754836;-4,385739326
3,886187261;0,500674546;-2,756232738;-5,953054905
3,896187261;0,758579731;-2,953989983;-6,514928341
3,906187261;0,535443962;-2,511230707;-5,727058887
3,916187261;0,053458802;-1,66800642;-4,022428513
3,926187261;-0,419909358;-0,809297144;-2,22472477
3,936187261;-0,733045876;-0,268528968;-0,984191716
3,946187261;-0,845361114;-0,149130836;-0,497611672
3,956187261;-0,799807072;-0,293252617;-0,507380605
3,966187261;-0,690121472;-0,476362914;-0,635614038
3,976187261;-0,573085725;-0,573263526;-0,685089052
3,986187261;-0,445411235;-0,585429966;-0,674664259
3,996187261;-0,31140545;-0,587917984;-0,70901531
4,006187261;-0,214253604;-0,65218693;-0,851249516
4,016187261;-0,173997149;-0,795106828;-1,093323708
4,026187261;-0,165778294;-0,978619516;-1,379180431
4,036187261;-0,14736037;-1,162134409;-1,672026396
